source_name,source_url,region,institution_type,platform,fit_level,primary_use,why_it_matters,current_take,next_action,notes
Oak Ridge National Laboratory,https://jobs.ornl.gov/,Oak Ridge / East Tennessee,national lab / research institution,SuccessFactors,P1 research,filtered direct sourcing,"One of the strongest technical employers in-region, with software, computing, controls, data, and research engineering roles.","High-value employer, but sampled public job pages did not expose compensation. That blocks direct import under HOLLER.WORKS policy for now.",Research whether any public search/detail surfaces expose compensation or whether ORNL should stay manual-review only.,"Treat as a filtered tech-role source, not a broad institutional feed."
Virginia Tech,https://jobs.vt.edu/,Blacksburg / Southwest Virginia,university,PageUp,P1 ready,filtered direct sourcing,"Strong technical employer in a region already aligned with HOLLER.WORKS, especially for IT, research software, and digital roles.","Promoted into the starter rotation as a capped four-role slice. The public jobs.apply.vt.edu surface is filterable, salary is visible on relevant tech roles, and the tightened prototype is producing reviewable output.",Let the capped slice run in the regular starter config and only expand it after a little more moderation history.,Strong regional fit and materially better than WVU for direct sourcing because public tech listings include compensation.
West Virginia University,https://careers.wvu.edu/internal-and-external-portal,Morgantown / Northern WV,university,Taleo,P1 research,filtered direct sourcing,"Strong in-region employer with likely IT, research computing, analytics, instructional tech, and platform roles.","Relevant and in-bounds. The public Taleo search endpoint is confirmed and the detail pages carry usable role text, but sampled public tech-role pages did not expose compensation, so WVU does not currently clear HOLLER.WORKS import policy.",Keep WVU as a manual or semi-automated filtered lane unless a public compensation-bearing surface is found; do not build a direct adapter around missing salary data.,"Strong in-region academic lane, but compensation remains the blocker even though the public search path is real."
Appalachian State University,https://appstate.peopleadmin.com/,North Carolina Appalachia,university,PeopleAdmin,P2 prototype,filtered direct sourcing,Potential source of real tech and tech-adjacent roles in ARC-defined Appalachia.,Narrow but viable. A tightened PeopleAdmin slice now yields one clean in-bounds systems role with visible compensation in Boone instead of a mixed academic/faculty result.,"Keep Appalachian State as a narrow manual or periodic source and only expand it if additional clearly technical, salary-bearing staff roles appear.","Current clean output is Financial Aid IT Business Systems Analyst II in Boone. Stronger than a generic university feed, but not broad-source ready."
Auburn University,https://www.auemployment.com/,Alabama Appalachia,university,PeopleAdmin,P2 research,filtered direct sourcing,Potential source of real tech and tech-adjacent roles in ARC-defined Appalachia.,Added from the ARC-defined university reference list. PeopleAdmin is common in higher ed and usually workable for filtered role sourcing once the public search surface is confirmed.,"Verify the public jobs surface, identify tech-facing categories, and confirm whether salary is visible on relevant role detail pages.","University-sourced tech lane should stay filtered to software, IT, data, digital, security, and adjacent technical work."
Carnegie Mellon University,https://www.cmu.edu/jobs/,Pittsburgh / Western Pennsylvania,university,Workday,P2 research,filtered direct sourcing,Potential source of real tech and tech-adjacent roles in ARC-defined Appalachia.,Added from the ARC-defined university reference list. Workday can be good for direct sourcing if the public postings expose compensation consistently.,"Verify the public jobs surface, identify tech-facing categories, and confirm whether salary is visible on relevant role detail pages.","University-sourced tech lane should stay filtered to software, IT, data, digital, security, and adjacent technical work."
Clemson University,https://www.clemson.edu/careers/,South Carolina Appalachia,university,PeopleAdmin,P2 research,filtered direct sourcing,Potential source of real tech and tech-adjacent roles in ARC-defined Appalachia.,"The public careers page resolves to an Oracle/PeopleSoft search surface, but this pass did not confirm a quick public job-detail path with visible compensation.",Keep Clemson in research until a workable public search/detail flow is confirmed; do not invest more unless it starts yielding salary-bearing staff-tech roles.,"Potentially valuable, but currently blocked more by platform friction than by regional fit."
East Tennessee State University,https://jobs.etsu.edu/,Tennessee Appalachia,university,PeopleAdmin,P2 research,filtered direct sourcing,Potential source of real tech and tech-adjacent roles in ARC-defined Appalachia.,Added from the ARC-defined university reference list. PeopleAdmin is common in higher ed and usually workable for filtered role sourcing once the public search surface is confirmed.,"Verify the public jobs surface, identify tech-facing categories, and confirm whether salary is visible on relevant role detail pages.","University-sourced tech lane should stay filtered to software, IT, data, digital, security, and adjacent technical work."
Frostburg State University,https://frostburg.peopleadmin.com/,Maryland Appalachia,university,PeopleAdmin,P2 research,filtered direct sourcing,Potential source of real tech and tech-adjacent roles in ARC-defined Appalachia.,Added from the ARC-defined university reference list. PeopleAdmin is common in higher ed and usually workable for filtered role sourcing once the public search surface is confirmed.,"Verify the public jobs surface, identify tech-facing categories, and confirm whether salary is visible on relevant role detail pages.","University-sourced tech lane should stay filtered to software, IT, data, digital, security, and adjacent technical work."
Marshall University,https://marshall.peopleadmin.com/,West Virginia Appalachia,university,PeopleAdmin,P2 prototype,filtered direct sourcing,Potential source of real tech and tech-adjacent roles in ARC-defined Appalachia.,"Narrow but viable. After campus-code mapping and title/department filtering, the PeopleAdmin slice now yields one clean IT-support role with visible compensation instead of a noisy facilities/admin mix.","Keep Marshall as a narrow manual or periodic source and only expand it if additional clearly technical, salary-bearing roles appear.","Current clean output is the Client Services Analyst role in Marshall Information Technology. Good academic lane candidate, but not broad-source ready."
Mississippi State University,https://explore.msujobs.msstate.edu/,Mississippi Appalachia,university,PageUp,P2 research,filtered direct sourcing,Potential source of real tech and tech-adjacent roles in ARC-defined Appalachia.,"Public PageUp listings are reachable, but sampled roles expose salary grades and link out to a compensation structure rather than showing direct salary ranges inline.","Only revisit if we decide a public grade-to-range lookup is acceptable under the comp-required rule, or if sampled tech roles begin exposing direct salary ranges.","Interesting platform fit, but not a clean import lane under the current compensation standard."
Morehead State University,https://moreheadstate.peopleadmin.com/,Kentucky Appalachia,university,PeopleAdmin,P2 research,filtered direct sourcing,Potential source of real tech and tech-adjacent roles in ARC-defined Appalachia.,"Public PeopleAdmin surface is real, but the obvious Information Systems role did not expose salary publicly.",Keep Morehead in research unless a salary-bearing technical staff role appears.,"Interesting institution, but the current public board does not clear the compensation rule for the strongest technical-looking role."
Ohio University,https://www.jobs.ohio.edu/,Ohio Appalachia,university,PeopleAdmin,P2 research,filtered direct sourcing,Potential source of real tech and tech-adjacent roles in ARC-defined Appalachia.,Added from the ARC-defined university reference list. PeopleAdmin is common in higher ed and usually workable for filtered role sourcing once the public search surface is confirmed.,"Verify the public jobs surface, identify tech-facing categories, and confirm whether salary is visible on relevant role detail pages.","University-sourced tech lane should stay filtered to software, IT, data, digital, security, and adjacent technical work."
Radford University,https://jobs.radford.edu/,Virginia Appalachia,university,PageUp,P2 prototype,filtered direct sourcing,Potential source of real tech and tech-adjacent roles in ARC-defined Appalachia.,Narrow but viable. A first generic PageUp pass yields one clean systems-admin role with a public salary range in Radford.,"Keep Radford as a narrow manual or periodic source and only expand it if additional clearly technical, salary-bearing staff roles appear.","Current clean output is Manager, System Administrator & Front End Operations in Radford. Good prototype for the generic PageUp lane."
