company_name,company_slug,board_sources,visible_jobs_on_first_page,sample_titles,sample_locations,company_domain,company_website,sample_apply_url,apply_host,likely_ats_type,tech_signal_score,recommended_action,notes
Lirio,lirio,https://jobs.launchtn.org/jobs,2,Senior AI Platform Engineer | Senior AI Development Platform Engineer,Remote,lirio.co,https://lirio.co,https://boards.greenhouse.io/lirio/jobs/7649081003,boards.greenhouse.io,greenhouse,6,Wire directly into existing seeder,
Pilot Flying J,pilot-flying-j,https://jobs.knoxtech.org/jobs,17,"Manager, Category - General Merchandise | Sr Manager, Learning | Representative, Guest Services | Project Manager, Operations Excellence","Greeneville, TN, USA | Knoxville, TN, USA",pilotflyingj.com,https://pilotflyingj.com,https://careers.pilotcompany.com/manager-category-general-merchandise/job/0D4FBA10B212A6F512269C80D5985772,careers.pilotcompany.com,careers.pilotcompany.com,2,Research direct career page / ATS,
Med+Proctor,med-proctor,https://jobs.launchtn.org/jobs,6,Intern - Inclusion & Engagement | Intern - Marketing - Communications | Claims Consultant - Hospital/Excess Professional Liability | Associate Underwriter Analyst,"Fort Wayne, IN, USA | United States",medproctor.com,https://medproctor.com,https://medprou.csod.com/ux/ats/careersite/5/home/requisition/1993?c=medprou,medprou.csod.com,cornerstone,2,Research direct career page / ATS,
Oak Ridge National Laboratory,oak-ridge-national-laboratory,https://jobs.knoxtech.org/jobs,3,Electrical CADD Designer III | Controls Systems Designer | Digital Communications Specialist,"Oak Ridge, TN, USA",ornl.gov,https://ornl.gov,https://jobs.ornl.gov/job/Oak-Ridge-Electrical-CADD-Designer-III-TN-37830/1371312400/,jobs.ornl.gov,jobs.ornl.gov,2,Research direct career page / ATS,
Angel Eye Health,angel-eye-health,https://jobs.launchtn.org/jobs,1,Interoperability Specialist,United States,angeleye.health,https://angeleye.health,https://www.angeleyehealth.com/wp-content/uploads/Interoperability-Specialist_formatted_3_12_26.pdf,www.angeleyehealth.com,www.angeleyehealth.com,1,Research direct career page / ATS,
Built Technologies,built-technologies,https://jobs.launchtn.org/jobs,1,"Director of Product & Design, SaaS Products","Nashville, TN, USA | Remote | Tennessee, USA",getbuilt.com,https://getbuilt.com,https://boards.greenhouse.io/getbuilt/jobs/4667769005,boards.greenhouse.io,greenhouse,1,Wire directly into existing seeder,
Pilot,pilot-3-208c6413-9fd2-4901-97c9-7fdadebbe6b5,https://jobs.launchtn.org/jobs,1,Staff Product Manager,"San Francisco, CA, USA",pilot.com,https://pilot.com,https://boards.greenhouse.io/pilothq/jobs/8461634002,boards.greenhouse.io,greenhouse,1,Wire directly into existing seeder,
Thyme Care,thyme-care,https://jobs.launchtn.org/jobs,5,"Senior Manager of Strategy and Operations, Biosimilars | Head of Commercial Operations | After Hours Nurse Practitioner | Oncology Nurse Navigator (11:30AM - 8:00PM EST)",Remote | United States,thymecare.com,https://thymecare.com,https://app.careerpuck.com/job-board/thymecare/job/5810793004,app.careerpuck.com,careerpuck,0,Discovery only,
Arcs Aviation,arcs-aviation,https://jobs.launchtn.org/jobs,1,Business Associate (entry-level),"Cookeville, TN, USA",arcsaviation.com,https://arcsaviation.com,https://www.linkedin.com/jobs/view/business-associate-entry-level-at-arcs-aviation-4384867488,www.linkedin.com,linkedin,0,Discovery only,
Healing Innovations,healing-innovations,https://jobs.launchtn.org/jobs,1,Sales Development Representative,United States,healinginnovations.com,https://healinginnovations.com,https://www.linkedin.com/jobs/view/sales-development-representative-at-healing-innovations-inc-4383967512,www.linkedin.com,linkedin,0,Discovery only,
Utilize Health,utilize-health,https://jobs.launchtn.org/jobs,1,"Manager, Care Management","Nashville, TN, USA",utilizehealth.co,https://utilizehealth.co,https://www.linkedin.com/jobs/view/manager-care-management-at-utilize-health-4384308834,www.linkedin.com,linkedin,0,Discovery only,
YouScience,youscience,https://jobs.launchtn.org/jobs,1,Territory Manager,"american fork, ut, usa",youscience.com,https://youscience.com,https://jobs.smartrecruiters.com/Youscience/744000114728097,jobs.smartrecruiters.com,smartrecruiters,0,Discovery only,
