institution,careers_url,platform,appalachia_tie,fit_level,current_take,next_action,notes,source_file
Virginia Tech,https://careers.vt.edu/,PageUp,VA Appalachia,P1 ready,"Promoted into the starter rotation as a capped four-role slice. The public jobs.apply.vt.edu search surface is filterable, salary is visible on relevant tech roles, and the tightened prototype is producing reviewable output.",Let the capped slice run in the regular starter config and only expand it after a little more moderation history.,Strong regional fit and materially better than WVU for direct sourcing because public tech listings include compensation.,companies/appalachia_universities.csv
West Virginia University,https://careers.wvu.edu/,Taleo,WV (All),P1 research,"Relevant and in-bounds. The public Taleo search endpoint is confirmed and the detail pages carry usable role text, but sampled public tech-role pages did not expose compensation, so WVU does not currently clear HOLLER.WORKS import policy.",Keep WVU as a manual or semi-automated filtered lane unless a public compensation-bearing surface is found; do not build a direct adapter around missing salary data.,"Strong in-region academic lane, but compensation remains the blocker even though the public search path is real.",companies/appalachia_universities.csv
Appalachian State University,https://appstate.peopleadmin.com/,PeopleAdmin,NC Appalachia,P2 prototype,Narrow but viable. A tightened PeopleAdmin slice now yields one clean in-bounds systems role with visible compensation in Boone instead of a mixed academic/faculty result.,"Keep Appalachian State as a narrow manual or periodic source and only expand it if additional clearly technical, salary-bearing staff roles appear.","Current clean output is Financial Aid IT Business Systems Analyst II in Boone. Keep this lane filtered to software, IT, data, digital, security, and adjacent technical work.",companies/appalachia_universities.csv
Auburn University,https://www.auemployment.com/,PeopleAdmin,AL Appalachia,P2 research,Added from the ARC-defined university reference list. PeopleAdmin is common in higher ed and usually workable for filtered role sourcing once the public search surface is confirmed.,"Verify the public jobs surface, identify tech-facing categories, and confirm whether salary is visible on relevant role detail pages.","University-sourced tech lane should stay filtered to software, IT, data, digital, security, and adjacent technical work.",companies/appalachia_universities.csv
Carnegie Mellon University,https://www.cmu.edu/jobs/,Workday,Pittsburgh Hub,P2 research,Added from the ARC-defined university reference list. Workday can be good for direct sourcing if the public postings expose compensation consistently.,"Verify the public jobs surface, identify tech-facing categories, and confirm whether salary is visible on relevant role detail pages.","University-sourced tech lane should stay filtered to software, IT, data, digital, security, and adjacent technical work.",companies/appalachia_universities.csv
Clemson University,https://www.clemson.edu/careers/,PeopleAdmin,SC Appalachia,P2 research,"The public careers page resolves to an Oracle/PeopleSoft search surface, but this pass did not confirm a quick public job-detail path with visible compensation.",Keep Clemson in research until a workable public search/detail flow is confirmed; do not invest more unless it starts yielding salary-bearing staff-tech roles.,"Potentially valuable, but currently blocked more by platform friction than by regional fit.",companies/appalachia_universities.csv
East Tennessee State University,https://jobs.etsu.edu/,PeopleAdmin,TN Appalachia,P2 research,Added from the ARC-defined university reference list. PeopleAdmin is common in higher ed and usually workable for filtered role sourcing once the public search surface is confirmed.,"Verify the public jobs surface, identify tech-facing categories, and confirm whether salary is visible on relevant role detail pages.","University-sourced tech lane should stay filtered to software, IT, data, digital, security, and adjacent technical work.",companies/appalachia_universities.csv
Frostburg State University,https://frostburg.peopleadmin.com/,PeopleAdmin,MD Appalachia,P2 research,Added from the ARC-defined university reference list. PeopleAdmin is common in higher ed and usually workable for filtered role sourcing once the public search surface is confirmed.,"Verify the public jobs surface, identify tech-facing categories, and confirm whether salary is visible on relevant role detail pages.","University-sourced tech lane should stay filtered to software, IT, data, digital, security, and adjacent technical work.",companies/appalachia_universities.csv
Marshall University,https://marshall.peopleadmin.com/,PeopleAdmin,WV Appalachia,P2 prototype,"Narrow but viable. After campus-code mapping and title/department filtering, Marshall now produces one clean IT-support role with visible compensation instead of a noisy facilities/admin slice.","Keep Marshall as a narrow manual or periodic source and only expand it if additional clearly technical, salary-bearing roles appear.","Current clean output is the Client Services Analyst role in Marshall Information Technology. Keep this lane filtered to software, IT, data, digital, security, and adjacent technical work.",companies/appalachia_universities.csv
Mississippi State University,https://explore.msujobs.msstate.edu/,PageUp,MS Appalachia,P2 research,"Public PageUp listings are reachable, but sampled roles expose salary grades and link out to a compensation structure rather than showing direct salary ranges inline.","Only revisit if we decide a public grade-to-range lookup is acceptable under the comp-required rule, or if sampled tech roles begin exposing direct salary ranges.","Interesting platform fit, but not a clean import lane under the current compensation standard.",companies/appalachia_universities.csv
