COMPANY,CAREERS URL,ATS,SOURCE_TYPE,SOURCE_IDENTIFIER,APPTIE,APPTIE_STATUS,SEED_PRIORITY,SEED_READY,REVIEW_STATUS,MAX_ACCEPTED,ALLOWED_LOCATION_PATTERNS_JSON,LOCATION_RULES_JSON,INCLUDE_KEYWORDS,EXCLUDE_KEYWORDS,LAST_CHECKED,SEED_NOTES,APPTIE_AUDIT_NOTE,NOTES,APPROVED,SOURCE_FILES,URL_VARIANTS
Abridge,https://www.abridge.com/careers,Ashby,,,Pittsburgh Startup,strong,P1,ready,configured,6.0,,,,,,"Promoted into the starter rotation as a capped Ashby startup slice. Real compensation, Pittsburgh-aware location handling, and a clean technical startup fit.",,,,appalachia_startups_agencies.csv,
Adtran,https://www.adtran.com/en/about-us/careers,ICIMS,,,Huntsville HQ,strong,P3,backlog,unreviewed,,,,,,,ATS not yet supported by the current seeder. Keep as research/backlog.,"Huntsville is in Madison County, Alabama, which ARC lists as Appalachian.",,,appalachia_tech_companies.csv,1
Advanced Logic Industries,https://www.ali-inc.com/careers,Custom,,,Blacksburg/Roanoke,regional,P3,backlog,unreviewed,,,,,,,ATS not yet supported by the current seeder. Keep as research/backlog.,"Blacksburg is in ARC Appalachia, and Roanoke is being treated as an intentional regional Appalachian inclusion for HOLLER.WORKS even though it is outside ARC county boundaries.",,,appalachia_tech_companies.csv,1
Ansys,https://www.ansys.com/careers,Workday,,,Canonsburg PA HQ,strong,P3,backlog,unreviewed,,,,,,,ATS not yet supported by the current seeder. Keep as research/backlog.,"Canonsburg is in Washington County, Pennsylvania, which ARC lists as Appalachian.",,,appalachian-tech-companies.csv,1
Anthroware,https://anthroware.com/careers,Workable,,,Asheville Agency,strong,P3,backlog,unreviewed,,,,,,2026-03-17,"Listed Workable path currently resolves to Workable oops, so there is no usable public board to ingest from right now.",,,,appalachia_startups_agencies.csv,
Appalachian Power (AEP),https://www.appalachianpower.com/company/careers,Custom,,,Charleston WV HQ,strong,P3,backlog,unreviewed,,,,,,,ATS not yet supported by the current seeder. Keep as research/backlog.,"Charleston is in Kanawha County, West Virginia; all of West Virginia is within ARC.",,,appalachian-tech-companies.csv,1
Astrobotic,https://www.astrobotic.com/company/careers/,PrimePay Recruit,primepay-recruit,astrobotic-technology-inc,Pittsburgh Startup,strong,P1,ready,configured,3,,,,,2026-03-17,Promoted into the starter rotation after a clean 3-for-3 approved eval. Keep Astrobotic capped so PrimePay broadens the board without crowding out other startup sources.,"Pittsburgh is in Allegheny County, Pennsylvania, which ARC lists as Appalachian.",Regular starter config keeps the approved Pittsburgh engineering slice and categorizes the roles as Other Tech-Adjacent.,,appalachia_tech_companies.csv; sources.astrobotic-eval.json; sources.appalachia-starters.json,1
Aurora Innovation,https://aurora.tech/careers,Greenhouse,greenhouse,aurorainnovation,Pittsburgh HQ,strong,P1,ready,configured,20.0,"[""Pittsburgh, Pennsylvania""]","[{""match"": ""Pittsburgh, Pennsylvania"", ""locationState"": ""Pennsylvania"", ""locationRegion"": ""Western PA"", ""locationCity"": ""Pittsburgh""}]","engineer, software, machine learning, it, security, systems, cloud, product, design, program manager, analyst",,,Starter source config already exists.,"Pittsburgh is in Allegheny County, Pennsylvania, which ARC lists as Appalachian.",,,appalachia_tech_companies.csv; appalachian-tech-companies.csv,1
BAE Systems,https://jobs.baesystems.com/,Taleo,,,Binghamton NY hub,strong,P3,backlog,unreviewed,,,,,,,ATS not yet supported by the current seeder. Keep as research/backlog.,"Binghamton is in Broome County, New York, which ARC lists as Appalachian.",,,appalachian-tech-companies.csv,1
Bellhop,https://www.getbellhops.com/about/careers/,Rippling,,,Chattanooga Hub,strong,P2,research,unreviewed,,,,,,2026-03-17,"Public Rippling board confirmed, but current openings are not yet in-bounds technical roles. Recheck later before adapter work.",,,,appalachia_startups_agencies.csv,
BlastPoint,https://blastpoint.com/careers/,Greenhouse,greenhouse,blastpoint,Pittsburgh Startup,strong,P1,ready,configured,4.0,,,,,2026-03-17,Promoted into the starter rotation after approval of the DevOps Manager role. Keep BlastPoint capped and only tune further if the Data Engineer lane proves worth it.,"Pittsburgh is in Allegheny County, Pennsylvania, which ARC lists as Appalachian.",Current live board has 3 roles total. VP of Engineering remains intentionally excluded for now.,,web-discovery; sources.startups-greenhouse-eval.json; sources.appalachia-starters.json,
Boeing,https://jobs.boeing.com/,Taleo,,,Huntsville AL hub,strong,P3,backlog,unreviewed,,,,,,,ATS not yet supported by the current seeder. Keep as research/backlog.,"Huntsville is in Madison County, Alabama, which ARC lists as Appalachian.",,,appalachian-tech-companies.csv,1
Built Technologies,https://boards.greenhouse.io/getbuilt,Greenhouse,greenhouse,getbuilt,Nashville / Tennessee regional inclusion,regional,P1,ready,configured,6.0,"[""Remote - USA"", ""Nashville, TN \(Hybrid\) or Remote""]","[{""match"": ""Remote - USA"", ""locationState"": ""Tennessee"", ""locationRegion"": ""East Tennessee"", ""locationCity"": ""Remote"", ""remoteFriendly"": true, ""locationNotes"": ""Regional Tennessee inclusion""}, {""match"": ""Nashville, TN \(Hybrid\) or Remote"", ""locationState"": ""Tennessee"", ""locationRegion"": ""East Tennessee"", ""locationCity"": ""Remote"", ""remoteFriendly"": true, ""locationNotes"": ""Regional Tennessee inclusion""}]","engineer, mobile, machine learning, product, design, quality assurance, qa, support, technical","account executive, event marketing, banking partnerships, marketplace services, solutions consultant, sales, fractional, argentina",2026-03-16,Included as an intentional regional exception. Remote-eligible technical roles only; avoid broad Nashville sprawl.,"Nashville is not ARC Appalachia. Included intentionally under the regional Appalachia rule, similar to Roanoke but more tightly filtered.",,,getro-company-leads.csv; sources.appalachia-starters.json,1
Carilion Clinic,https://www.carilionclinic.org/careers,Custom,,,Roanoke VA HQ,regional,P3,backlog,unreviewed,,,,,,,ATS not yet supported by the current seeder. Keep as research/backlog.,Roanoke is being treated as an intentional regional Appalachian inclusion for HOLLER.WORKS even though it is outside ARC county boundaries.,,,appalachian-tech-companies.csv,1
DeepSig,https://www.deepsig.ai/careers,Paylocity,,,Blacksburg Startup,strong,P2,research,unreviewed,,,,,,2026-03-17,"Public Paylocity board confirmed with multiple technical roles, but sampled public detail pages do not expose numeric compensation.","Blacksburg is in Montgomery County, Virginia, which ARC lists as Appalachian.","Visible technical slice includes Senior Software Engineer, DevOps Engineer, and wireless ML roles in Arlington.",,appalachia_startups_agencies.csv,
Dick's Sporting Goods (Tech),https://careers.dickssportinggoods.com/,Workday,,,Pittsburgh PA HQ,strong,P3,backlog,unreviewed,,,,,,,ATS not yet supported by the current seeder. Keep as research/backlog.,"Pittsburgh is in Allegheny County, Pennsylvania, which ARC lists as Appalachian.",,,appalachian-tech-companies.csv,1
Duolingo,https://careers.duolingo.com/,Greenhouse,greenhouse,duolingo,Pittsburgh HQ,strong,P1,ready,configured,15.0,"[""Pittsburgh, PA""]","[{""match"": ""Pittsburgh, PA"", ""locationState"": ""Pennsylvania"", ""locationRegion"": ""Western PA"", ""locationCity"": ""Pittsburgh""}]","engineer, developer, data, design, product, analytics, research, writer, docs, security, it","chef, facilities, custodian, head of dtc, head of duolingo academy, learning design",,Starter source config already exists.,"Pittsburgh is in Allegheny County, Pennsylvania, which ARC lists as Appalachian.",,,appalachia_tech_companies.csv; appalachian-tech-companies.csv,2
Dynetics (Leidos),https://www.dynetics.com/careers,Workday,,,Huntsville HQ,strong,P3,backlog,unreviewed,,,,,,,ATS not yet supported by the current seeder. Keep as research/backlog.,"Huntsville is in Madison County, Alabama, which ARC lists as Appalachian.",,,appalachia_tech_companies.csv,1
Ecobot,https://ecobotapp.com/careers,Breezy,,,Asheville HQ,strong,P3,backlog,unreviewed,,,,,,,ATS not yet supported by the current seeder. Keep as research/backlog.,"Asheville is in Buncombe County, North Carolina, which ARC lists as Appalachian.",,,appalachia_tech_companies.csv,1
eNGINE,https://www.pghcareerconnector.com/,Custom lead,custom,,Pittsburgh lead,strong,P2,research,unreviewed,,,,,,2026-03-17,Discovered via PGH Career Connector newest jobs. Treat as an employer lead until a clean direct careers surface is found.,"Pittsburgh is in Allegheny County, Pennsylvania, which ARC lists as Appalachian.",Added from PGH Career Connector employer discovery.,,pgh-career-connector-employer-leads.csv,1
Firefli,https://firefli.com/careers,Custom,,,Roanoke HQ,regional,P3,backlog,unreviewed,,,,,,,ATS not yet supported by the current seeder. Keep as research/backlog.,Roanoke is being treated as an intentional regional Appalachian inclusion for HOLLER.WORKS even though it is outside ARC county boundaries.,,,appalachia_tech_companies.csv,1
Fleetio,https://www.fleetio.com/careers,Greenhouse,greenhouse,fleetio,Birmingham HQ,strong,P2,ready,configured,8.0,"[""Remote"", ""Remote - USA"", ""Remote - USA, CAN, MEX"", ""Birmingham, AL""]","[{""match"": ""Remote"", ""locationState"": ""Alabama"", ""locationRegion"": ""Central Alabama"", ""locationCity"": ""Remote"", ""remoteFriendly"": true, ""locationNotes"": ""Remote role from Birmingham-based company""}, {""match"": ""Remote - USA"", ""locationState"": ""Alabama"", ""locationRegion"": ""Central Alabama"", ""locationCity"": ""Remote"", ""remoteFriendly"": true, ""locationNotes"": ""Remote role from Birmingham-based company""}, {""match"": ""Remote - USA, CAN, MEX"", ""locationState"": ""Alabama"", ""locationRegion"": ""Central Alabama"", ""locationCity"": ""Remote"", ""remoteFriendly"": true, ""locationNotes"": ""Remote role from Birmingham-based company""}, {""match"": ""Birmingham, AL"", ""locationState"": ""Alabama"", ""locationRegion"": ""Central Alabama"", ""locationCity"": ""Birmingham""}]","engineer, software, analytics, automation, product, platform, technical, data, security, devops","account executive, marketing, gtm, competitive intelligence, sales, onboarding manager, public sector, head of",2026-03-17,"Technically wired into the starter config, but current public Fleetio postings do not expose compensation, so the seeder correctly rejects them under HOLLER.WORKS policy.","Birmingham is in Jefferson County, Alabama, which ARC lists as Appalachian.",Configured but currently blocked by the comp-required rule because public job pages omit salary.,,appalachia_tech_companies.csv,1
FreightWaves,https://freightwaves.com/careers,Unconfirmed,,,Chattanooga Hub,strong,P3,backlog,unreviewed,,,,,,,Listed careers URL did not resolve to a usable public jobs surface in this pass. Treat as lead only.,,,,appalachia_startups_agencies.csv,
Frontier Communications,https://jobs.frontier.com/,Workday,,,Charleston WV hub,strong,P3,backlog,unreviewed,,,,,,,ATS not yet supported by the current seeder. Keep as research/backlog.,"Charleston is in Kanawha County, West Virginia; all of West Virginia is within ARC.",,,appalachian-tech-companies.csv,1
Gather AI,https://www.gather.ai/careers,Greenhouse,greenhouse,gatherai,Pittsburgh Startup,strong,P2,research,unreviewed,6.0,,,,,2026-03-17,"Real Pittsburgh Greenhouse board with many technical roles, but the current public postings do not expose usable compensation on the technical slice.","Pittsburgh is in Allegheny County, Pennsylvania, which ARC lists as Appalachian.","Strong technical mix, but comp-required policy correctly blocks it today.",,web-discovery; sources.startups-greenhouse-eval.json,
